BIB_ID,LANGUAGE,RECORD_MODIFIED
3,eng, 06/23/2008
4,eng, 06/23/2008
8,eng, 06/23/2008
10,eng, 06/23/2008
11,eng, 06/23/2008
12,eng, 07/29/2011
13,eng, 08/31/2017
19,eng, 06/23/2008
21,eng, 06/23/2008
23,eng, 06/23/2008
24,eng, 06/23/2008
25,gre, 06/23/2008
26,eng, 06/23/2008
28,eng, 07/27/2011
29,eng, 06/23/2008
31,gre, 06/23/2008
32,eng, 07/29/2011
33,eng, 06/23/2008
34,eng, 07/27/2011
35,eng, 06/23/2008
36,eng, 06/23/2008
37,eng, 06/23/2008
38,eng, 06/23/2008
40,eng, 06/23/2008
41,gre, 02/10/2011
42,eng, 06/23/2008
45,eng, 07/27/2011
46,eng, 06/23/2008
48,gre, 06/12/2009
50,eng, 06/23/2008
51,eng, 06/23/2008
52,eng, 06/23/2008
53,eng, 09/05/2014
54,eng, 06/23/2008
55,eng, 06/23/2008
56,eng, 06/23/2008
57,eng, 06/23/2008
58,gre, 06/23/2008
59,eng, 06/23/2008
60,eng, 06/23/2008
65,eng, 06/23/2008
66,eng, 06/23/2008
67,eng, 06/23/2008
68,gre, 06/23/2008
69,gre, 06/23/2008
75,eng, 06/23/2008
76,eng, 06/23/2008
78,eng, 08/01/2012
79,eng, 07/27/2011
81,eng, 10/11/2017
82,eng, 03/31/2009
83,eng, 06/23/2008
85,eng, 07/27/2011
88,eng, 06/23/2008
89,eng, 06/23/2008
90,eng, 06/23/2008
93,gre, 06/15/2009
94,eng, 06/23/2008
96,eng, 06/23/2008
97,eng, 06/23/2008
98,eng, 06/23/2008
99,eng, 06/23/2008
100,eng, 06/23/2008
102,eng, 06/23/2008
103,eng, 06/23/2008
105,eng, 07/27/2011
106,eng, 05/05/2015
107,eng, 07/27/2011
110,eng, 07/27/2011
115,eng, 06/23/2008
116,spa, 06/23/2008
117,eng, 06/23/2008
118,eng, 07/27/2011
119,eng, 06/23/2008
121,eng, 06/23/2008
123,gre, 06/23/2008
124,eng, 07/27/2011
125,eng, 09/11/2014
126,eng, 07/27/2011
128,eng, 06/23/2008
129,eng, 06/23/2008
130,eng, 06/23/2008
132,eng, 12/30/2010
133,eng, 06/23/2008
134,eng, 06/23/2008
135,eng, 07/27/2011
136,eng, 05/24/2011
137,gre, 05/18/2009
138,eng, 06/23/2008
139,eng, 06/23/2008
141,eng, 08/15/2013
144,eng, 02/09/2015
145,gre, 07/31/2009
146,eng, 06/23/2008
148,eng, 06/23/2008
151,eng, 06/23/2008
155,eng, 06/23/2008
158,eng, 06/23/2008
159,eng, 06/23/2008
160,eng, 06/23/2008
161,eng, 06/23/2008
163,eng, 06/23/2008
164,eng, 07/27/2011
165,eng, 06/23/2008
166,eng, 06/23/2008
167,eng, 02/18/2011
