id,type,subtype,location,language,access,status,status_override,lastmod,priority,priority_override,changefreq,changecount
1,custom,,/bib/1,en,1,1,0,1526330421,0.5,0,86400,0
2,custom,,/bib/2,en,1,1,0,1526330421,0.5,0,86400,0
3,custom,,/bib/3,en,1,1,0,1526330421,0.5,0,86400,0
4,custom,,/bib/4,en,1,1,0,1526330421,0.5,0,86400,0
5,custom,,/bib/5,en,1,1,0,1526330421,0.5,0,86400,0
6,custom,,/bib/6,en,1,1,0,1526330421,0.5,0,86400,0
7,custom,,/bib/7,en,1,1,0,1526330421,0.5,0,86400,0
8,custom,,/bib/8,en,1,1,0,1526330421,0.5,0,86400,0
9,custom,,/bib/9,en,1,1,0,1526330421,0.5,0,86400,0
10,custom,,/bib/10,en,1,1,0,1526330421,0.5,0,86400,0
11,custom,,/bib/11,en,1,1,0,1526330421,0.5,0,86400,0
12,custom,,/bib/12,en,1,1,0,1526330421,0.5,0,86400,0
13,custom,,/bib/13,en,1,1,0,1526330421,0.5,0,86400,0
14,custom,,/bib/14,en,1,1,0,1526330421,0.5,0,86400,0
15,custom,,/bib/15,en,1,1,0,1526330421,0.5,0,86400,0
16,custom,,/bib/16,en,1,1,0,1526330421,0.5,0,86400,0
17,custom,,/bib/17,en,1,1,0,1526330421,0.5,0,86400,0
18,custom,,/bib/18,en,1,1,0,1526330421,0.5,0,86400,0
19,custom,,/bib/19,en,1,1,0,1526330421,0.5,0,86400,0
20,custom,,/bib/20,en,1,1,0,1526330421,0.5,0,86400,0
21,custom,,/bib/21,en,1,1,0,1526330421,0.5,0,86400,0
22,custom,,/bib/22,en,1,1,0,1526330421,0.5,0,86400,0
23,custom,,/bib/23,en,1,1,0,1526330421,0.5,0,86400,0
24,custom,,/bib/24,en,1,1,0,1526330421,0.5,0,86400,0
25,custom,,/bib/25,en,1,1,0,1526330421,0.5,0,86400,0
26,custom,,/bib/26,en,1,1,0,1526330421,0.5,0,86400,0
27,custom,,/bib/27,en,1,1,0,1526330421,0.5,0,86400,0
28,custom,,/bib/28,en,1,1,0,1526330421,0.5,0,86400,0
29,custom,,/bib/29,en,1,1,0,1526330421,0.5,0,86400,0
30,custom,,/bib/30,en,1,1,0,1526330421,0.5,0,86400,0
31,custom,,/bib/31,en,1,1,0,1526330421,0.5,0,86400,0
32,custom,,/bib/32,en,1,1,0,1526330421,0.5,0,86400,0
33,custom,,/bib/33,en,1,1,0,1526330421,0.5,0,86400,0
34,custom,,/bib/34,en,1,1,0,1526330421,0.5,0,86400,0
35,custom,,/bib/35,en,1,1,0,1526330421,0.5,0,86400,0
36,custom,,/bib/36,en,1,1,0,1526330421,0.5,0,86400,0
37,custom,,/bib/37,en,1,1,0,1526330421,0.5,0,86400,0
38,custom,,/bib/38,en,1,1,0,1526330421,0.5,0,86400,0
39,custom,,/bib/39,en,1,1,0,1526330421,0.5,0,86400,0
40,custom,,/bib/40,en,1,1,0,1526330421,0.5,0,86400,0
41,custom,,/bib/41,en,1,1,0,1526330421,0.5,0,86400,0
42,custom,,/bib/42,en,1,1,0,1526330421,0.5,0,86400,0
43,custom,,/bib/43,en,1,1,0,1526330421,0.5,0,86400,0
44,custom,,/bib/44,en,1,1,0,1526330421,0.5,0,86400,0
45,custom,,/bib/45,en,1,1,0,1526330421,0.5,0,86400,0
46,custom,,/bib/46,en,1,1,0,1526330421,0.5,0,86400,0
47,custom,,/bib/47,en,1,1,0,1526330421,0.5,0,86400,0
48,custom,,/bib/48,en,1,1,0,1526330421,0.5,0,86400,0
49,custom,,/bib/49,en,1,1,0,1526330421,0.5,0,86400,0
50,custom,,/bib/50,en,1,1,0,1526330421,0.5,0,86400,0
51,custom,,/bib/51,en,1,1,0,1526330421,0.5,0,86400,0
52,custom,,/bib/52,en,1,1,0,1526330421,0.5,0,86400,0
53,custom,,/bib/53,en,1,1,0,1526330421,0.5,0,86400,0
54,custom,,/bib/54,en,1,1,0,1526330421,0.5,0,86400,0
55,custom,,/bib/55,en,1,1,0,1526330421,0.5,0,86400,0
56,custom,,/bib/56,en,1,1,0,1526330421,0.5,0,86400,0
57,custom,,/bib/57,en,1,1,0,1526330421,0.5,0,86400,0
58,custom,,/bib/58,en,1,1,0,1526330421,0.5,0,86400,0
59,custom,,/bib/59,en,1,1,0,1526330421,0.5,0,86400,0
60,custom,,/bib/60,en,1,1,0,1526330421,0.5,0,86400,0
61,custom,,/bib/61,en,1,1,0,1526330421,0.5,0,86400,0
62,custom,,/bib/62,en,1,1,0,1526330421,0.5,0,86400,0
63,custom,,/bib/63,en,1,1,0,1526330421,0.5,0,86400,0
64,custom,,/bib/64,en,1,1,0,1526330421,0.5,0,86400,0
65,custom,,/bib/65,en,1,1,0,1526330421,0.5,0,86400,0
66,custom,,/bib/66,en,1,1,0,1526330421,0.5,0,86400,0
67,custom,,/bib/67,en,1,1,0,1526330421,0.5,0,86400,0
68,custom,,/bib/68,en,1,1,0,1526330421,0.5,0,86400,0
69,custom,,/bib/69,en,1,1,0,1526330421,0.5,0,86400,0
70,custom,,/bib/70,en,1,1,0,1526330421,0.5,0,86400,0
71,custom,,/bib/71,en,1,1,0,1526330421,0.5,0,86400,0
72,custom,,/bib/72,en,1,1,0,1526330421,0.5,0,86400,0
73,custom,,/bib/73,en,1,1,0,1526330421,0.5,0,86400,0
74,custom,,/bib/74,en,1,1,0,1526330421,0.5,0,86400,0
75,custom,,/bib/75,en,1,1,0,1526330421,0.5,0,86400,0
